Timestamp,Motor,Steering,CamPitch,CamYaw,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,ToF
[16:20:31.668],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1329.00
[16:20:31.689],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.46,1329.00
[16:20:31.715],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.46,1329.00
[16:20:31.741],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.53,1401.00
[16:20:31.767],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.73,1.40,1401.00
[16:20:31.793],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.92,0.79,1.46,1390.00
[16:20:31.815],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1390.00
[16:20:31.841],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1507.00
[16:20:31.867],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.46,1507.00
[16:20:31.893],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.73,1.40,1400.00
[16:20:31.914],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.79,1.34,1400.00
[16:20:31.940],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.79,1.46,1306.00
[16:20:31.966],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.73,0.73,1.34,1306.00
[16:20:31.992],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.79,0.73,1.46,1581.00
[16:20:32.018],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.40,1581.00
[16:20:32.044],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.79,1.40,1408.00
[16:20:32.070],0.00,0.00,-0.00,0.00,0.00,-0.00,1.04,0.85,0.67,1.40,1408.00
[16:20:32.091],0.00,0.00,-0.00,-0.38,0.00,-0.00,1.04,0.79,0.61,1.40,1566.00
[16:20:32.117],0.00,0.00,-0.00,-1.00,-0.01,-0.00,1.03,0.85,0.12,1.40,1566.00
[16:20:32.142],0.00,0.00,-0.00,-1.00,0.05,0.00,1.04,0.43,1.04,2.01,1355.00
[16:20:32.168],0.00,0.00,-0.00,-1.00,-0.02,-0.01,1.05,1.34,1.04,1.10,1355.00
[16:20:32.194],0.00,0.00,-0.00,-1.00,0.02,-0.00,1.03,0.79,0.98,1.34,2727.00
[16:20:32.220],0.00,0.00,-0.00,-1.00,-0.03,0.00,1.07,0.49,0.49,1.40,2727.00
[16:20:32.246],0.00,0.00,-0.00,-1.00,-0.03,0.00,1.07,0.49,0.49,1.40,1607.00
[16:20:32.272],0.00,0.00,-0.00,-1.00,0.03,0.01,1.03,1.10,0.85,1.53,1607.00
[16:20:32.298],0.00,0.00,-0.00,-1.00,-0.01,-0.00,1.05,0.37,1.04,1.40,1607.00
[16:20:32.324],0.00,0.00,-0.00,-1.00,0.01,0.00,1.04,0.67,0.49,1.53,1607.00
[16:20:32.344],0.00,0.00,-0.00,-1.00,-0.01,0.00,1.05,0.85,0.55,1.40,1134.00
[16:20:32.370],0.00,0.00,-0.00,-1.00,-0.00,-0.02,1.05,1.34,0.49,1.40,1134.00
[16:20:32.396],0.00,0.00,-0.00,-1.00,0.02,0.00,1.02,0.61,0.85,1.59,1134.00
[16:20:32.427],0.00,0.00,-0.00,-1.00,0.00,0.00,1.03,0.85,0.73,1.16,1134.00
[16:20:32.447],0.00,0.00,-0.00,-1.00,0.00,0.00,1.03,0.85,0.73,1.16,1119.00
[16:20:32.473],0.00,0.00,-0.00,-1.00,0.01,0.01,1.04,0.31,0.55,1.34,1119.00
[16:20:32.499],0.00,0.00,-0.00,-1.00,-0.00,-0.00,1.05,0.85,0.73,1.40,1119.00
[16:20:32.525],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.05,0.79,0.85,1.46,1119.00
[16:20:32.550],0.00,0.00,-0.00,-1.00,-0.00,-0.01,1.04,0.98,0.79,1.40,1120.00
[16:20:32.576],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.04,0.79,0.73,1.59,1120.00
[16:20:32.597],0.00,0.00,-0.00,-1.00,-0.00,0.00,1.04,0.67,0.55,1.53,1120.00
[16:20:32.628],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.04,0.79,0.79,1.40,1120.00
[16:20:32.654],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.04,0.79,0.79,1.40,1120.00
[16:20:32.680],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.79,0.67,1.40,1120.00
[16:20:32.700],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.04,0.79,0.79,1.40,1121.00
[16:20:32.726],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.79,0.73,1.34,1121.00
[16:20:32.752],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.79,0.85,1.46,1121.00
[16:20:32.778],0.00,0.00,-0.00,-1.00,0.00,0.00,1.04,0.79,0.79,1.40,1121.00
[16:20:32.804],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.85,0.79,1.40,1119.00
[16:20:32.830],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.85,0.73,1.53,1119.00
[16:20:32.856],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.85,0.73,1.53,1119.00
[16:20:32.882],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.73,0.73,1.53,1119.00
[16:20:32.903],0.00,0.00,-0.00,-1.00,0.01,-0.00,1.04,0.79,0.67,1.53,1123.00
[16:20:32.929],0.00,0.00,-0.00,-1.00,0.00,0.00,1.04,0.92,0.73,1.40,1123.00
[16:20:32.955],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.79,0.85,1.40,1123.00
[16:20:32.981],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.73,0.67,1.40,1123.00
[16:20:33.006],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.85,0.73,1.46,1122.00
[16:20:33.032],0.00,0.00,-0.00,-1.00,0.00,-0.00,1.04,0.85,0.73,1.46,1122.00
[16:20:33.053],0.00,0.00,-0.00,-1.00,0.00,0.00,1.04,0.79,0.73,1.46,1122.00
[16:20:33.080],0.00,0.00,0.33,-1.00,0.00,-0.00,1.04,0.79,0.73,1.46,1122.00
[16:20:33.106],0.00,0.00,0.45,-0.44,0.00,-0.00,1.04,0.85,0.79,1.40,1123.00
[16:20:33.133],0.00,0.00,-0.00,1.00,0.02,0.01,1.05,1.04,1.53,1.65,1123.00
[16:20:33.154],0.00,0.00,-0.00,1.00,0.04,0.01,1.01,1.04,0.73,1.46,1146.00
[16:20:33.181],0.00,0.00,-0.00,1.00,0.01,-0.03,1.02,1.28,0.79,0.98,1146.00
[16:20:33.207],0.00,0.00,-0.00,1.00,-0.02,0.00,1.05,-0.12,2.01,1.77,1146.00
[16:20:33.232],0.00,0.00,-0.22,1.00,-0.02,0.00,1.05,-0.12,2.01,1.77,1146.00
[16:20:33.258],0.00,0.00,-0.22,1.00,0.02,-0.00,1.05,1.59,0.67,1.34,1421.00
[16:20:33.284],0.00,0.00,-0.00,0.86,0.01,0.01,1.06,-0.12,0.00,0.92,1421.00
[16:20:33.305],0.00,0.00,-0.00,0.69,-0.00,0.00,1.03,1.04,3.17,2.01,1856.00
[16:20:33.332],0.00,0.00,-0.00,0.70,0.03,-0.02,1.09,0.98,-0.98,1.34,1856.00
[16:20:33.358],0.00,0.00,-0.00,0.74,0.01,0.00,1.03,0.61,1.34,1.28,928.00
[16:20:33.383],0.00,0.00,-0.00,0.87,-0.06,0.01,1.01,0.98,0.12,1.53,928.00
[16:20:33.409],0.00,0.00,-0.00,0.98,0.02,0.00,1.02,0.61,0.85,1.71,2130.00
[16:20:33.435],0.00,0.00,0.20,1.00,0.02,0.00,1.02,0.61,0.85,1.71,2130.00
[16:20:33.461],0.00,0.00,0.21,1.00,-0.03,-0.00,1.05,1.34,0.92,1.10,2130.00
[16:20:33.487],0.00,0.00,0.21,1.00,0.01,-0.01,1.07,0.24,1.10,1.34,2130.00
[16:20:33.508],0.00,0.00,0.21,1.00,-0.04,0.01,1.04,0.98,0.37,1.77,1460.00
[16:20:33.534],0.00,0.00,0.21,1.00,0.02,0.00,1.06,0.49,1.04,1.40,1460.00
[16:20:33.560],0.00,0.00,0.21,1.00,-0.02,-0.02,1.05,1.16,1.04,1.28,1166.00
[16:20:33.586],0.00,0.00,0.21,1.00,0.01,-0.00,1.05,0.67,0.55,1.28,1166.00
[16:20:33.612],0.00,0.00,0.24,1.00,0.01,-0.00,1.05,0.67,0.55,1.28,1166.00
[16:20:33.638],0.00,0.00,0.24,1.00,-0.01,0.00,1.06,0.92,0.49,1.46,1166.00
[16:20:33.659],0.00,0.00,0.24,1.00,0.01,0.01,1.04,1.04,1.04,1.46,1166.00
[16:20:33.685],0.00,0.00,0.24,1.00,-0.00,0.00,1.05,0.55,0.98,1.28,1168.00
[16:20:33.711],0.00,0.00,0.24,1.00,0.01,-0.01,1.04,0.98,0.73,1.34,1168.00
[16:20:33.736],0.00,0.00,0.24,1.00,-0.00,-0.00,1.04,0.67,0.73,1.40,1168.00
[16:20:33.762],0.00,0.00,0.24,1.00,0.00,-0.01,1.04,0.85,0.67,1.53,1168.00
